MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Doom,,"Action, Horror, Sci-Fi",5.2,"
Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines.","Director:
Andrzej Bartkowiak
| 
    Stars:
Karl Urban, 
Rosamund Pike, 
Dwayne Johnson, 
Deobia Oparei",,105.0,
Kaze no tani no Naushika,,"Animation, Adventure, Fantasy",8.1,"
Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.","Director:
Hayao Miyazaki
| 
    Stars:
Sumi Shimamoto, 
Mahito Tsujimura, 
Hisako Kyôda, 
Gorô Naya",,117.0,
The Last Stand,,"Action, Thriller",6.3,"
The leader of a drug cartel busts out of a courthouse and speeds to the Mexican border, where the only thing in his path is a sheriff and his inexperienced staff.","Director:
Jee-woon Kim
| 
    Stars:
Arnold Schwarzenegger, 
Forest Whitaker, 
Johnny Knoxville, 
Rodrigo Santoro",,107.0,
De rouille et d'os,,"Drama, Romance",7.5,"
Put in charge of his young son, Alain leaves Belgium for Antibes to live with his sister and her husband as a family. Alain's bond with Stephanie, a killer whale trainer, grows deeper after Stephanie suffers a horrible accident.","Director:
Jacques Audiard
| 
    Stars:
Marion Cotillard, 
Matthias Schoenaerts, 
Armand Verdure, 
Céline Sallette",,120.0,
Young Guns II,,"Action, Western",6.5,"
In 1881, cattle baron John Chisum pays a bounty to Patrick Floyd Garrett to kill outlaw Billy the Kid.","Director:
Geoff Murphy
| 
    Stars:
Emilio Estevez, 
Kiefer Sutherland, 
Lou Diamond Phillips, 
Christian Slater",,104.0,
Pan,,"Adventure, Comedy, Family",5.7,"
Twelve-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny -- to become the hero who will be for ever known as Peter Pan.","Director:
Joe Wright
| 
    Stars:
Levi Miller, 
Hugh Jackman, 
Garrett Hedlund, 
Rooney Mara",,111.0,
The Iceman,,"Biography, Crime, Drama",6.8,"
The story of Richard Kuklinski, the notorious contract killer and family man. When finally arrested in 1986, neither his wife nor daughters had any clue about his real profession.","Director:
Ariel Vromen
| 
    Stars:
Michael Shannon, 
Chris Evans, 
James Franco, 
Winona Ryder",,106.0,
Hannibal Rising,,"Action, Adventure, Crime",6.2,"
After the death of his parents during World War II, young Hannibal Lecter moves in with his beautiful aunt and begins plotting revenge on the barbarians responsible for his sister's death.","Director:
Peter Webber
| 
    Stars:
Gaspard Ulliel, 
Rhys Ifans, 
Gong Li, 
Aaran Thomas",,121.0,
The Day the Earth Stood Still,,"Drama, Sci-Fi, Thriller",5.5,"
A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth.","Director:
Scott Derrickson
| 
    Stars:
Keanu Reeves, 
Jennifer Connelly, 
Kathy Bates, 
Jaden Smith",,104.0,
The Adventures of Sharkboy and Lavagirl 3-D,,"Action, Adventure, Comedy",3.7,"
A young boy is recruited by his imaginary friends Sharkboy and Lavagirl to help save their planet.","Director:
Robert Rodriguez
| 
    Stars:
Cayden Boyd, 
George Lopez, 
Kristin Davis, 
David Arquette",,93.0,
Taken 2,,"Action, Crime, Thriller",6.3,"
In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.","Director:
Olivier Megaton
| 
    Stars:
Liam Neeson, 
Famke Janssen, 
Maggie Grace, 
Leland Orser",,92.0,
The Ugly Truth,,"Comedy, Romance",6.4,"
An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man.","Director:
Robert Luketic
| 
    Stars:
Katherine Heigl, 
Gerard Butler, 
Bree Turner, 
Eric Winter",,96.0,
Sweet Virginia,,"Action, Drama, Thriller",6.2,"
A former rodeo champ befriends a young man with a propensity for violence.","Director:
Jamie M. Dagg
| 
    Stars:
Jon Bernthal, 
Christopher Abbott, 
Imogen Poots, 
Rosemarie DeWitt",,93.0,
Deliver Us from Evil,,"Action, Biography, Crime",6.2,"
New York police officer Ralph Sarchie investigates a series of crimes. He joins forces with an unconventional priest, schooled in the rites of exorcism, to combat the possessions that are terrorizing their city.","Director:
Scott Derrickson
| 
    Stars:
Eric Bana, 
Edgar Ramírez, 
Olivia Munn, 
Chris Coy",,118.0,
The Human Centipede II (Full Sequence),,Horror,3.8,"
Inspired by the fictional Dr. Heiter, disturbed loner Martin dreams of creating a 12-person centipede and sets out to realize his sick fantasy.","Director:
Tom Six
| 
    Stars:
Laurence R. Harvey, 
Ashlynn Yennie, 
Maddi Black, 
Kandace Caine",,91.0,
Dead Man Down,,"Action, Crime, Drama",6.5,"
In New York City, a crime lord's right-hand man is helped by a woman seeking retribution.","Director:
Niels Arden Oplev
| 
    Stars:
Colin Farrell, 
Noomi Rapace, 
Dominic Cooper, 
Terrence Howard",,118.0,
Step Up,,"Crime, Drama, Music",6.5,"
Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.","Director:
Anne Fletcher
| 
    Stars:
Channing Tatum, 
Jenna Dewan, 
Damaine Radcliff, 
De'Shawn Washington",,104.0,
Child 44,,"Crime, Drama, History",6.5,"
A disgraced member of the Russian military police investigates a series of child murders during the Stalin-era Soviet Union.","Director:
Daniel Espinosa
| 
    Stars:
Tom Hardy, 
Gary Oldman, 
Noomi Rapace, 
Joel Kinnaman",,137.0,
Berlin Syndrome,,"Drama, Horror, Mystery",6.3,"
A passionate holiday romance leads to an obsessive relationship, when an Australian photojournalist wakes one morning in a Berlin apartment and is unable to leave.","Director:
Cate Shortland
| 
    Stars:
Teresa Palmer, 
Max Riemelt, 
Matthias Habich, 
Emma Bading",,116.0,
Office Christmas Party,,Comedy,5.9,"
When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...","Directors:
Josh Gordon, 
Will Speck
| 
    Stars:
Jason Bateman, 
Olivia Munn, 
T.J. Miller, 
Jennifer Aniston",,105.0,
White Girl,,"Crime, Drama",5.7,"
Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.","Director:
Elizabeth Wood
| 
    Stars:
Morgan Saylor, 
Brian Marc, 
Justin Bartha, 
Adrian Martinez",,88.0,
Mercury Rising,,"Action, Crime, Drama",6.1,"
Shadowy elements in the NSA target a nine-year old autistic savant for death when he is able to decipher a top secret code.","Director:
Harold Becker
| 
    Stars:
Bruce Willis, 
Miko Hughes, 
Alec Baldwin, 
Chi McBride",,111.0,
Suburbicon,,"Comedy, Crime, Drama",5.7,"
As a 1950s suburban community self-destructs, a home invasion has sinister consequences for one seemingly normal family.","Director:
George Clooney
| 
    Stars:
Matt Damon, 
Julianne Moore, 
Oscar Isaac, 
Noah Jupe",,105.0,
Better Watch Out,,"Comedy, Horror, Thriller",6.5,"
On a quiet suburban street, a babysitter must defend a twelve-year-old boy from intruders, only to discover it's far from a normal home invasion.","Director:
Chris Peckover
| 
    Stars:
Olivia DeJonge, 
Levi Miller, 
Ed Oxenbould, 
Aleks Mikic",,89.0,
Safe,,"Action, Crime, Thriller",6.5,"
Mei, a young girl whose memory holds a priceless numerical code, finds herself pursued by the Triads, the Russian mob, and corrupt NYC cops. Coming to her aid is an ex-cage fighter whose life was destroyed by the gangsters on Mei's trail.","Director:
Boaz Yakin
| 
    Stars:
Jason Statham, 
Catherine Chan, 
Chris Sarandon, 
Robert John Burke",,94.0,
Killerman,,"Action, Crime, Thriller",5.4,"
Two NYC money launderers make a quick drug deal. Things go wrong, as dirty cops are involved. One of the friends gets amnesia during their escape with the drugs and money.","Director:
Malik Bader
| 
    Stars:
Liam Hemsworth, 
Emory Cohen, 
Diane Guerrero, 
Zlatko Buric",,112.0,
The Devil's Own,,"Action, Crime, Drama",6.2,"
A police officer uncovers the real identity of his house-guest, an I.R.A. terrorist in hiding.","Director:
Alan J. Pakula
| 
    Stars:
Harrison Ford, 
Brad Pitt, 
Margaret Colin, 
Rubén Blades",,111.0,
Kaze tachinu,,"Animation, Biography, Drama",7.8,"
A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.","Director:
Hayao Miyazaki
| 
    Stars:
Hideaki Anno, 
Hidetoshi Nishijima, 
Miori Takimoto, 
Masahiko Nishimura",,126.0,
Super Dark Times,,"Crime, Drama, Horror",6.6,"
Teenagers Zach and Josh have been best friends their whole lives, but when a gruesome accident leads to a cover-up, the secret drives a wedge between them and propels them down a rabbit hole of escalating paranoia and violence.","Director:
Kevin Phillips
| 
    Stars:
Owen Campbell, 
Charlie Tahan, 
Elizabeth Cappuccino, 
Amy Hargreaves",,103.0,
Zwartboek,,"Drama, Thriller, War",7.7,"
In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.","Director:
Paul Verhoeven
| 
    Stars:
Carice van Houten, 
Sebastian Koch, 
Thom Hoffman, 
Halina Reijn",,145.0,
"See No Evil, Hear No Evil",,"Comedy, Crime",6.9,"
Dave is deaf, and Wally is blind. They witness a murder, but it was Dave who was looking at her, and Wally who was listening.","Director:
Arthur Hiller
| 
    Stars:
Richard Pryor, 
Gene Wilder, 
Joan Severance, 
Kevin Spacey",,103.0,
Beasts of No Nation,,"Drama, War",7.7,"
A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.","Director:
Cary Joji Fukunaga
| 
    Stars:
Abraham Attah, 
Emmanuel Affadzi, 
Ricky Adelayitor, 
Andrew Adote",,137.0,
Isn't It Romantic,,"Comedy, Fantasy, Musical",5.9,"
A young woman disenchanted with love mysteriously finds herself trapped inside a romantic comedy.","Director:
Todd Strauss-Schulson
| 
    Stars:
Rebel Wilson, 
Liam Hemsworth, 
Adam Devine, 
Priyanka Chopra Jonas",,89.0,
The Ghost Writer,,"Crime, Drama, Mystery",7.2,"
A ghost writer, hired to complete the memoirs of a former British Prime Minister, uncovers secrets that put his own life in jeopardy.","Director:
Roman Polanski
| 
    Stars:
Ewan McGregor, 
Pierce Brosnan, 
Olivia Williams, 
Jon Bernthal",,128.0,
Valley of the Dolls,,"Drama, Music, Romance",6.0,"
Film version of Jacqueline Susann's best-selling novel chronicling the rise and fall of three young women in show business.","Director:
Mark Robson
| 
    Stars:
Barbara Parkins, 
Patty Duke, 
Paul Burke, 
Sharon Tate",,123.0,
The Shack,,"Drama, Fantasy",6.3,"
A grieving man receives a mysterious, personal invitation to meet with God at a place called ""The Shack.""","Director:
Stuart Hazeldine
| 
    Stars:
Sam Worthington, 
Octavia Spencer, 
Tim McGraw, 
Radha Mitchell",,132.0,
Maggie,,"Drama, Horror, Sci-Fi",5.6,"
A teenage girl in the Midwest becomes infected by an outbreak of a disease that slowly turns the infected into cannibalistic zombies. During her transformation, her loving father stays by her side.","Director:
Henry Hobson
| 
    Stars:
Arnold Schwarzenegger, 
Abigail Breslin, 
Joely Richardson, 
Laura Cayouette",,95.0,
Broken City,,"Action, Crime, Drama",6.2,"
In a city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure: Mayor Nicholas Hostetler.","Director:
Allen Hughes
| 
    Stars:
Mark Wahlberg, 
Russell Crowe, 
Catherine Zeta-Jones, 
Jeffrey Wright",,109.0,
Step Up 2: The Streets,,"Drama, Music, Romance",6.2,"
Romantic sparks occur between two dance students from different backgrounds at the Maryland School of the Arts.","Director:
Jon M. Chu
| 
    Stars:
Robert Hoffman, 
Briana Evigan, 
Cassie Ventura, 
Adam Sevani",,98.0,
Contraband,,"Action, Crime, Drama",6.4,"
To protect his brother-in-law from a drug lord, a former smuggler heads to Panama to score millions of dollars in counterfeit bills.","Director:
Baltasar Kormákur
| 
    Stars:
Mark Wahlberg, 
Giovanni Ribisi, 
Kate Beckinsale, 
Robert Wahlberg",,109.0,
The Client,,"Crime, Drama, Mystery",6.7,"
A young boy who witnessed the suicide of a mafia lawyer hires an attorney to protect him when the District Attorney tries to use him to take down a mob family.","Director:
Joel Schumacher
| 
    Stars:
Susan Sarandon, 
Tommy Lee Jones, 
Brad Renfro, 
Mary-Louise Parker",,119.0,
Mirror Mirror,,"Adventure, Comedy, Drama",5.6,"
An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.","Director:
Tarsem Singh
| 
    Stars:
Lily Collins, 
Julia Roberts, 
Armie Hammer, 
Nathan Lane",,106.0,
I Spit on Your Grave 2,,"Horror, Thriller",5.7,"
When Katie innocently accepts an offer to have new photos taken for her portfolio, the experience quickly turns into a nightmare of rape, torture and kidnapping. Now, she will have to find the strength to exact her brutal revenge.","Director:
Steven R. Monroe
| 
    Stars:
Jemma Dallender, 
Joe Absolom, 
Yavor Baharov, 
George Zlatarev",,106.0,
The Great Gatsby,,"Drama, Romance",6.4,"
A Midwesterner becomes fascinated with his nouveau riche neighbor, who obsesses over his lost love.","Director:
Jack Clayton
| 
    Stars:
Robert Redford, 
Mia Farrow, 
Bruce Dern, 
Karen Black",,144.0,
Thelma,,"Drama, Fantasy, Horror",7.0,"
A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge with devastating results.","Director:
Joachim Trier
| 
    Stars:
Eili Harboe, 
Kaya Wilkins, 
Henrik Rafaelsen, 
Ellen Dorrit Petersen",,116.0,
Step Up 3D,,"Drama, Music, Romance",6.2,"
A tight-knit group of New York City street dancers find themselves pitted against the world's best hip hop dancers in a high-stakes showdown.","Director:
Jon M. Chu
| 
    Stars:
Sharni Vinson, 
Rick Malambri, 
Adam Sevani, 
Alyson Stoner",,107.0,
Triple Threat,,"Action, Thriller",5.6,"
When a billionaire's daughter intent on bringing down a major crime syndicate is targeted by a group of professional assassins, a team of mercenaries must stop them before they kill her.","Director:
Jesse V. Johnson
| 
    Stars:
Tony Jaa, 
Tiger Hu Chen, 
Iko Uwais, 
Scott Adkins",,96.0,
Kari-gurashi no Arietti,,"Animation, Adventure, Family",7.6,"
The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter, Arrietty, is discovered.","Director:
Hiromasa Yonebayashi
| 
    Stars:
Amy Poehler, 
Will Arnett, 
Mirai Shida, 
Ryûnosuke Kamiki",,94.0,
Step Up Revolution,,"Drama, Music, Romance",6.4,"
Emily arrives in Miami with aspirations to become a professional dancer. She sparks with Sean, the leader of a dance crew whose neighborhood is threatened by Emily's father's development plans.","Director:
Scott Speer
| 
    Stars:
Kathryn McCormick, 
Ryan Guzman, 
Cleopatra Coleman, 
Misha Gabriel Hamilton",,99.0,
Cloudy with a Chance of Meatballs 2,,"Animation, Adventure, Comedy",6.4,"
Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational, and is churning out menacing food-animal hybrids.","Directors:
Cody Cameron, 
Kris Pearn
| 
    Stars:
Bill Hader, 
Anna Faris, 
Will Forte, 
Neil Patrick Harris",,95.0,
Brooklyn's Finest,,"Action, Crime, Drama",6.7,"
Three unconnected Brooklyn cops wind up at the same deadly location after enduring vastly different career paths.","Director:
Antoine Fuqua
| 
    Stars:
Richard Gere, 
Don Cheadle, 
Ethan Hawke, 
Wesley Snipes",,132.0,
Mirrors,,"Horror, Mystery",6.1,"
An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.","Director:
Alexandre Aja
| 
    Stars:
Kiefer Sutherland, 
Paula Patton, 
Amy Smart, 
Cameron Boyce",,110.0,
Honeymoon,,"Drama, Fantasy, Horror",5.7,"
A newlywed couple finds their lake-country honeymoon descend into chaos after Paul finds Bea wandering and disoriented in the middle of the night.","Director:
Leigh Janiak
| 
    Stars:
Rose Leslie, 
Harry Treadaway, 
Ben Huber, 
Hanna Brown",,87.0,
Touch of Evil,,"Crime, Drama, Film-Noir",8.0,"
A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.","Director:
Orson Welles
| 
    Stars:
Charlton Heston, 
Orson Welles, 
Janet Leigh, 
Joseph Calleia",,95.0,
True Story,,"Biography, Crime, Drama",6.3,"
When disgraced New York Times reporter Michael Finkel meets accused killer Christian Longo - who has taken on Finkel's identity - his investigation morphs into a game of cat-and-mouse.","Director:
Rupert Goold
| 
    Stars:
James Franco, 
Jonah Hill, 
Felicity Jones, 
Maria Dizzia",,99.0,
Planes,,"Animation, Adventure, Comedy",5.7,"
A cropdusting plane with a fear of heights lives his dream of competing in a famous around-the-world aerial race.","Director:
Klay Hall
| 
    Stars:
Carlos Alazraqui, 
Dane Cook, 
Stacy Keach, 
Brad Garrett",,91.0,
Omoide no Mânî,,"Animation, Drama, Family",7.7,"
Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie.","Directors:
James Simone, 
Hiromasa Yonebayashi
| 
    Stars:
Sara Takatsuki, 
Kasumi Arimura, 
Nanako Matsushima, 
Susumu Terajima",,103.0,
The One I Love,,"Comedy, Drama, Romance",7.1,"
A troubled couple vacate to a beautiful getaway, but bizarre circumstances further complicate their situation.","Director:
Charlie McDowell
| 
    Stars:
Mark Duplass, 
Elisabeth Moss, 
Ted Danson, 
Kiana Cason",,91.0,
Jeepers Creepers 3,,Horror,3.9,"
Sheriff Dan Tashtego and a team of creeper hunters enlist the help of officer Davis Tubbs to help stop the monster's eating spree.","Director:
Victor Salva
| 
    Stars:
Stan Shaw, 
Gabrielle Haugh, 
Brandon Smith, 
Meg Foster",,100.0,
Geronimo: An American Legend,,"Drama, History, Western",6.5,"
The story of the Apache chief and his armed resistance to the U.S. Government's subjugation of his people.","Director:
Walter Hill
| 
    Stars:
Jason Patric, 
Gene Hackman, 
Robert Duvall, 
Wes Studi",,115.0,
The Immigrant,,"Drama, Romance",6.6,"
1921. An innocent immigrant woman is tricked into a life of burlesque and vaudeville until a dazzling magician tries to save her and reunite her with her sister who is being held in the confines of Ellis Island.","Director:
James Gray
| 
    Stars:
Marion Cotillard, 
Joaquin Phoenix, 
Jeremy Renner, 
Dagmara Dominczyk",,120.0,
Step Up All In,,"Drama, Music, Romance",6.0,"
All-stars from the previous Step Up installments come together in glittering Las Vegas, battling for a victory that could define their dreams and their careers.","Director:
Trish Sie
| 
    Stars:
Ryan Guzman, 
Briana Evigan, 
Adam Sevani, 
Misha Gabriel Hamilton",,112.0,
Take Me,,"Comedy, Crime, Mystery",6.1,"
Ray is a fledgling entrepreneur who specializes in high-end simulated abductions. He jumps at the chance when a mysterious client contracts him for a weekend kidnapping with a handsome ...                See full summary »
","Director:
Pat Healy
| 
    Stars:
Pat Healy, 
Taylor Schilling, 
Alycia Delmore, 
Jim O'Heir",,83.0,
Un long dimanche de fiançailles,,"Drama, Mystery, Romance",7.6,"
Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.","Director:
Jean-Pierre Jeunet
| 
    Stars:
Audrey Tautou, 
Gaspard Ulliel, 
Jodie Foster, 
Dominique Pinon",,133.0,
Kokuriko-zaka kara,,"Animation, Drama, Family",7.4,"
A group of Yokohama teens look to save their school's clubhouse from the wrecking ball in preparations for the 1964 Tokyo Olympics.","Director:
Gorô Miyazaki
| 
    Stars:
Sarah Bolger, 
Chris Noth, 
Anton Yelchin, 
Christina Hendricks",,91.0,
Extremely Loud & Incredibly Close,,"Adventure, Drama, Mystery",6.9,"
A nine-year-old amateur inventor, Francophile, and pacifist searches New York City for the lock that matches a mysterious key left behind by his father, who died in the World Trade Center on September 11, 2001.","Director:
Stephen Daldry
| 
    Stars:
Thomas Horn, 
Tom Hanks, 
Sandra Bullock, 
Max von Sydow",,129.0,
Red Riding Hood,,"Fantasy, Horror, Mystery",5.5,"
Set in a medieval village that is haunted by a werewolf, a young girl falls for an orphaned woodcutter, much to her family's displeasure.","Director:
Catherine Hardwicke
| 
    Stars:
Amanda Seyfried, 
Lukas Haas, 
Gary Oldman, 
Billy Burke",,100.0,
Get Rich or Die Tryin',,"Biography, Crime, Drama",5.4,"
A tale of an inner city drug dealer who turns away from crime to pursue his passion, rap music.","Director:
Jim Sheridan
| 
    Stars:
50 Cent, 
Joy Bryant, 
Adewale Akinnuoye-Agbaje, 
Omar Benson Miller",,117.0,
Hit and Run,,"Action, Adventure, Comedy",6.1,"
Former getaway driver Charles Bronson jeopardizes his Witness Protection Plan identity in order to help his girlfriend get to Los Angeles. The feds and Charles' former gang chase them on the road.","Directors:
David Palmer, 
Dax Shepard
| 
    Stars:
Dax Shepard, 
Kristen Bell, 
Bradley Cooper, 
Kristin Chenoweth",,100.0,
Duck Butter,,"Comedy, Drama, Romance",5.3,"
Two women, who are dissatisfied with the dishonesty they see in dating and relationships, decide to make a pact to spend 24 hours together hoping to find a new way to create intimacy.","Director:
Miguel Arteta
| 
    Stars:
Alia Shawkat, 
Drew Langer, 
Marc Maron, 
Mark Duplass",,93.0,
Liu lang di qiu,,"Action, Adventure, Sci-Fi",6.0,"
As the sun is dying out, people all around the world build giant planet thrusters to move Earth out of its orbit and sail Earth to a new star system. Yet the 2500-year journey comes with unexpected dangers, and in order to save humanity, a group of young people in this age of a wandering Earth fight hard for the survival of humankind.","Director:
Frant Gwo
| 
    Stars:
Jing Wu, 
Chuxiao Qu, 
Guangjie Li, 
Man-Tat Ng",,125.0,
Philomena,,"Biography, Comedy, Drama",7.6,"
A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.","Director:
Stephen Frears
| 
    Stars:
Judi Dench, 
Steve Coogan, 
Sophie Kennedy Clark, 
Mare Winningham",,98.0,
Alvin and the Chipmunks: The Squeakquel,,"Animation, Adventure, Comedy",4.5,"
The world-famous singing preteen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes.","Director:
Betty Thomas
| 
    Stars:
Jason Lee, 
Zachary Levi, 
David Cross, 
Justin Long",,88.0,
In the Name of the King: A Dungeon Siege Tale,,"Action, Adventure, Fantasy",3.8,"
A man named Farmer sets out to rescue his kidnapped wife and avenge the death of his son, two acts committed by the Krugs, a race of animal-warriors who are controlled by the evil Gallian.","Director:
Uwe Boll
| 
    Stars:
Jason Statham, 
Ron Perlman, 
Ray Liotta, 
Leelee Sobieski",,127.0,
The Little Mermaid,,"Adventure, Drama, Fantasy",4.3,"
A young reporter and his niece discover a beautiful and enchanting creature they believe to be the real little mermaid.","Directors:
Blake Harris, 
Chris Bouchard
| 
    Stars:
William Moseley, 
Poppy Drayton, 
Loreto Peralta, 
Armando Gutierrez",,85.0,
Miss Bala,,"Action, Crime, Drama",5.8,"
Gloria finds a power she never knew she had when she is drawn into a dangerous world of cross-border crime. Surviving will require all of her cunning, inventiveness, and strength. Based on the Spanish-language film.","Director:
Catherine Hardwicke
| 
    Stars:
Gina Rodriguez, 
Thomas Dekker, 
Vivian Chan, 
Barbarella Pardo",,104.0,
John Dies at the End,,"Comedy, Fantasy, Horror",6.4,"
A new street drug that sends its users across time and dimensions has one drawback: some people return no longer human. Can two college drop-outs save humanity from this silent, otherworldly invasion?","Director:
Don Coscarelli
| 
    Stars:
Chase Williamson, 
Rob Mayes, 
Paul Giamatti, 
Clancy Brown",,99.0,
Kaguya-hime no monogatari,,"Animation, Adventure, Drama",8.0,"
Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.","Director:
Isao Takahata
| 
    Stars:
Chloë Grace Moretz, 
James Caan, 
Mary Steenburgen, 
James Marsden",,137.0,
Dumbo,,"Animation, Adventure, Drama",7.2,"
Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.","Directors:
Samuel Armstrong, 
Norman Ferguson, 
Wilfred Jackson, 
Jack Kinney, 
Bill Roberts, 
Ben Sharpsteen, 
John Elliotte
| 
    Stars:
Sterling Holloway, 
Edward Brophy, 
Herman Bing, 
Mel Blanc",,64.0,
Le Petit Prince,,"Animation, Adventure, Drama",7.7,"
A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.","Director:
Mark Osborne
| 
    Stars:
Jeff Bridges, 
Mackenzie Foy, 
Rachel McAdams, 
Marion Cotillard",,108.0,
Tangerine,,"Comedy, Crime, Drama",7.1,"
A hooker tears through Tinseltown on Christmas Eve searching for the pimp who broke her heart.","Director:
Sean Baker
| 
    Stars:
Kitana Kiki Rodriguez, 
Mya Taylor, 
Karren Karagulian, 
Mickey O'Hagan",,88.0,
A Man Apart,,"Action, Crime, Drama",6.1,"
A man known as Diablo emerges to head a drug cartel after the previous leader is imprisoned.","Director:
F. Gary Gray
| 
    Stars:
Vin Diesel, 
Timothy Olyphant, 
Larenz Tate, 
Geno Silva",,109.0,
Romeo & Juliet,,"Drama, Romance",5.8,"
Romeo and Juliet secretly wed despite the sworn contempt their families hold for each other. It is not long, however, before a chain of fateful events changes the lives of both families forever.","Director:
Carlo Carlei
| 
    Stars:
Hailee Steinfeld, 
Douglas Booth, 
Damian Lewis, 
Laura Morante",,118.0,
Mongol,,"Action, Biography, Drama",7.2,"
The story recounts the early life of Genghis Khan who was a slave before going on to conquer half the world in 1206.","Director:
Sergei Bodrov
| 
    Stars:
Tadanobu Asano, 
Amadu Mamadakov, 
Khulan Chuluun, 
Honglei Sun",,126.0,
The Gunman,,"Action, Crime, Thriller",5.8,"
A sniper on a mercenary assassination team, kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself.","Director:
Pierre Morel
| 
    Stars:
Sean Penn, 
Idris Elba, 
Jasmine Trinca, 
Javier Bardem",,115.0,
Yip Man 3,,"Action, Biography, Drama",7.1,"
When a band of brutal gangsters led by a crooked property developer make a play to take over a local school, Master Ip is forced to take a stand.","Director:
Wilson Yip
| 
    Stars:
Donnie Yen, 
Lynn Xiong, 
Jin Zhang, 
Mike Tyson",,105.0,
Mugen no jûnin,,"Action, Drama, Fantasy",6.8,"
Cursed with a life of immortality, a samurai is tasked by a young girl to help avenge the death of her father. Based on the manga series by Hiroaki Samura.","Director:
Takashi Miike
| 
    Stars:
Takuya Kimura, 
Hana Sugisaki, 
Sôta Fukushi, 
Hayato Ichihara",,140.0,
Kal Hee,,"Animation, Drama, Romance",7.6,"
A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.","Director:
Isao Takahata
| 
    Stars:
Miki Imai, 
Toshirô Yanagiba, 
Yoko Honna, 
Mayumi Izuka",,118.0,
Kahaani,,"Mystery, Thriller",8.1,"
A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.","Director:
Sujoy Ghosh
| 
    Stars:
Vidya Balan, 
Parambrata Chattopadhyay, 
Indraneil Sengupta, 
Nawazuddin Siddiqui",,122.0,
Arbitrage,,"Drama, Thriller",6.6,"
A troubled hedge fund magnate desperate to complete the sale of his trading empire makes an error that forces him to turn to an unlikely person for help.","Director:
Nicholas Jarecki
| 
    Stars:
Richard Gere, 
Susan Sarandon, 
Brit Marling, 
Tim Roth",,107.0,
Premium Rush,,"Action, Crime, Thriller",6.5,"
In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city.","Director:
David Koepp
| 
    Stars:
Joseph Gordon-Levitt, 
Michael Shannon, 
Dania Ramirez, 
Sean Kennedy",,91.0,
